22nya	dua-duanya
dtggu	ditunggu
dtgkan	datangkan
dtinggl	ditinggal
dtnggu	ditunggu
dtunggu	ditunggu
emg	memang
emng	memang
emngnya	memangnya
emnknya	memangnya
engk	enggak
enk	enak
entr	entar
fav	favorit
fb	facebook
fto	foto
g	enggak
ga	tidak
gabakal	enggak bakal
gabisa	tidak bisa
gada	enggak ada
gaje	tidak jelas
gajelas	enggak jelas
gak	tidak
gak papa	tidak apa-apa
gakpapa	enggak apa-apa
gakuat	enggak kuat
gakusah	enggak usah
gamau	tidak mau
gapake	enggak pakai
gapapa	tidak apa-apa
gapernah	enggak pernah
gaptek	gagap teknologi
gapunya	enggak punya
gasalah	enggak salah
gasih	enggak sih
gatau	tidak tahu
gataunya	enggak taunya
gatot	gagal total
gausa	enggak usah
gausah	enggak usah
gbs	tidak bisa
gde	gede
gg	enggak
gga	enggak
gimn	bagaimana
gimna	bagaimana
gk	tidak
gksalah	enggak salah
gksi	enggak sih
gmana	bagaimana
gmanapun	bagaimanapun
gmau	enggak mau
gmn	bagaimana
gmna	bagaimana
gmpg	gampang
gndakan	gandakan
gni	begini
gnti	ganti
gnyngka	enggak menyangka
golput	golongan putih
gpny	tidak punya
gpp	tidak apa-apa
gr2	gara-gara
gra2	gara-gara
grgr	gara-gara
gt	begitu
gtau	tidak tahu
gtu	begitu
gtw	tidak tahu
gw	saya
gws	cepat sembuh
hbis	habis
hbs	habis
hdp	hidup
hdpn	hadapan
hdpnya	hidupnya
hdup	hidup
hlm	halaman
hlng	hilang
hmpir	hampir
hndak	hendak
hndk	hendak
hngga	hingga
hny	hanya
hnya	hanya
hpus	hapus
hr	hari
hri	hari
hrs	harus
hrsny	harusny
hrsnya	harusnya
hrus	harus
hrusnya	harusnya
hslnya	hasilnya
hub	hubungi
idk	saya tidak tahu
ingt	ingat
it	itu
iy	iya
ja	saja
jd	jadi
jdi	jadi
jdikan	jadikan
jdulnya	judulnya
jdwl	jadwal
jg	juga
jga	juga
jgan	jangan
jgn	jangan
jgnkan	jangankan
jilbb	jilbab
jing	anjing
jir	anjing
jk	jika
jkrta	jakarta
jkt	jakarta
jlbb	jilbab
jlek	jelek
jln	jalan
jmnya	jamnya
jng	jangan
jngan	jangan
jngn	jangan
jnj	janji
jrang	jarang
jt	juta
jth	jatuh
jubir	juru bicara
jwab	jawab
jwb	jawab
jwban	jawaban
k	ke
ka	kakak
kapn	kapan
kapt	kapten
karna	karena
kbahagiaan	kebahagiaan
kbar	kabar
kbawa	terbawa
kberkahn	keberkahan
kbetulan	kebetulan
kbiasaan	kebiasaan
kbr	kabar
kcantikan	kecantikan
kcewa	kecewa
kcil	kecil
kcwa	kecewa
kdang	kadang
kdg	kadang
kdng	kadang
kdua	kedua
kebykan	kebanyakan
kec	kecamatan
kedpan	kedepan
kek	seperti
kel	kelurahan
kemarn	kemarin
kemn	kemana
kencng	kencang
kepsek	kepala sekolah
kgak	kagak
kgiatan	kegiatan
kgn	kangen
kh	kah
khadiran	kehadiran
khadirannya	kehadirannya
khdpn	kehidupan
khidupan	kehidupan
kk	kakak
kka	kakak
kkak	kakak
kl	kalau
klahiran	kelahiran
klakuan	kelakuan
klas	kelas
klau	kalau
klg	keluarga
klhran	kelahiran
kli	kali
klian	kalian
kliatan	kelihatan
klo	kalau
klrga	keluarga
kluar	keluar
kluarga	keluarga
km	kamu
kmana	kemana
kmaren	kemarin
kmari	kemari
kmarin	kemarin
kmauan	kemauan
kmbali	kembali
kmbang	kembang
kmbl	kembali
kmewahan	kemewahan
kmi	kami
kmn	kemana
kmps	kampus
kmpus	kampus
kmren	kemarin
kmrin	kemarin
kmrn	kemarin
kmu	kamu
kn	kan
knal	kenal
knan	kanan
kndung	kandung
kngen	kangen
kngenn	kangen
kngn	kangen
knl	kenal
knlan	kenalan
knp	kenapa
knpa	kenapa
knpp	kenapa
knsul	konsultasi
knyataan	kenyataan
ko	kok
konsul	konsultasi
kpada	kepada
kpan	kapan
kpancing	terpancing
kpd	kepada
kpleset	kepleset
kpn	kapan
kpn2	kapan-kapan
kpnpun	kapanpun
kptsan	keputusan
kpuasan	kepuasan
kr	kira
kra	kira
kren	keren
krjaan	pekerjaan
krm	kirim
krmh	ke rumah
krn	karena
krna	karena
krng	kurang
krudung	kerudung
krudungan	kerudungan
krus	kurus
krya	karya
ksenangan	kesenangan
ksh	kasih
ksih	kasih
ksini	kesini
ksitu	kesitu
kslahan	kesalahan
kslhn	kesalahan
ksni	kesini
ksyngn	kesayangan
kt	kita
kt2	kata-kata
kta	kata
ktaatan	ketaatan
ktanya	katanya
ktauan	ketahuan
ktawa	ketawa
ktemu	ketemu
ktergantungan	ketergantungan
ktika	ketika
ktmu	ketemu
ktny	katanya
ktnya	katanya
ktwa	ketawa
kurng	kurang
kuy	yuk
ky	seperti
kya	kaya
kyak	kayak
kyaknya	kayaknya
kyanya	kayanya
kyk	seperti
kykny	kayanya
kyknya	kayaknya
lamp	lampiran
lancr	lancar
lbh	lebih
lbih	lebih
lbur	libur
ledkin	meledeki
lg	lagi
lggeng	langgeng
lgi	lagi
lgkah2	langkah-langkah
lgkp	lengkap
lgsg	langsung
lgsung	langsung
lgu	lagu
lgunya	lagunya
lhat	lihat
lhir	lahir
lht	lihat
lma	lama
lmyan	lumayan
lmyn	lumayan
lngkp	lengkap
lngsing	langsing
lngsung	langsung
lol	tertawa
lp	lupa
lsg	langsung
lt	lantai
lwt	lewat
ma	sama
mb	mbak
mba	mbak
mcm	macam
mdh	mudah
mdh2an	mudah-mudahan
mdh2n	mudah-mudahan
menjdi	menjadi
menyenangkn	menyenangkan
met	selamat
mgkin	mungkin
mgkn	mungkin
mhn	mohon
mk	maka
mkanya	makanya
mkin	makin
mkir	memikir
mkn	makin
mknya	makanya
mksd	maksud
mksdku	maksudku
mksdny	maksudnya
mksdnya	maksudnya
mksh	terima kasih
mksih	terima kasih
mkst	maksud
mksud	maksud
mlah	malah
mlepaskan	melepaskan
mlh	malah
mlm	malam
mls	malas
mmang	memang
mmberikan	memberikan
mmg	memang
mmperbaiki	memperbaiki
mn	mana
mna	mana
mnambh	menambah
mncoba	mencoba
mndaptkan	mendapatkan
mnding	mending
mndpat	mendapat
mndpt	mendapat
mnerima	menerima
mngerti	mengerti
mnghina	menghina
mngikuti	mengikuti
mngira	mengira
mngkin	mungkin
mngkn	mungkin
mnilai	menilai
mnjdi	menjadi
mnjdkan	menjadikan
mnjmput	menjemput
mnjual	menjual
mnt	minta
mnta	minta
mntn	mantan
mnusuk	menusuk
mnutup	menutup
mpe	sampai
mrangkul	merangkul
mreka	mereka
mrip	mirip
mrk	mereka
mrka	mereka
mrusak	merusak
msa	masa
msalah	masalah
msg2	masing-masing
msh	masih
msih	masih
msk	masuk
mskasih	terima kasih
msknya	masaknya
mskpn	meskipun
mslh	masalah
mslhnya	masalahnya
msng2	masing-masing
mst	mesti
msuk	masuk
n	dan
nda	tidak
ndak	tidak
ndiri	sendiri
negri	negeri
nelfon	menelepon
nga	enggak
ngga	tidak
nggak	tidak
ngggk	enggak
nggk	enggak
ngmg	bicara
ngmgin	mengomongkan
ngmng	bicara
ngmngin	mengomongkan
ngmngnya	mengomongnya
ngrti	mengerti
ngrusak	merusak
ngrusin	mengurusi
ngtain	mengatai
ngtif	negatif
njay	anjay
njir	anjir
nm	nama
nmbah	menambah
nmbk	menembak
nmnya	namanya
nmpk	nampak
nmr	nomor
nnt	nanti
nnti	nanti
nntn	nonton
nnton	menonton
no	nomor
nobar	menonton bareng
np	now playing
ntab	mantab
ntap	mantap
ntn	nonton
ntr	entar
ny	nya
ongkir	ongkos kirim
org	orang
orgny	orangnya
orng	orang
ortu	orang tua
ortuny	orang tuanya
padhl	padahal
pcar	pacar
pcaran	pacaran
pcaranya	pacarannya
pcarny	pacarnya
pcran	pacaran
pcrn	pacaran
pcrnya	pacarnya
pd	pada
pda	pada
pdahal	padahal
pdhl	padahal
pdng	padang
pg	pagi
pgang	pegang
pgen	pengin
pgi	pagi
pgn	pengin
pgnnya	penginnya
pjang	pajang
pjg	panjang
pk	pakai
pkai	pakai
pke	pakai
plg	pulang
pling	paling
pljaran	pelajaran
pljrn	pelajaran
plsa	pulsa
pluk	peluk
pm	private message
pndah	pindah
pndapat	pendapat
pnjang	panjang
pnjng	panjang
pnjual	penjual
pnting	penting
pnuh	penuh
pny	punya
pnya	punya
pp	pulang pergi
prcuma	percuma
prcy	percaya
prcya	percaya
prempuan	perempuan
prhatian	perhatian
priksa	periksa
prjuangan	perjuangan
prlu	perlu
prmpuan	perempuan
prnah	pernah
prnh	pernah
psangan	pasangan
psen	pesan
psgn	pasangan
psn	pesan
pst	pasti
psti	pasti
pswt	pesawat
rb	ribu
rhs	rahasia
rmbt	rambut
rmbut	rambut
rmh	rumah
sbagai	sebagai
sbaiknya	sebaiknya
sbb	sebagai berikut
sbbrnya	sebenarnya
sbelah	sebelah
sbelum	sebelum
sbenernya	sebenarnya
sbg	sebagai
sbgai	sebagai
sbh	sebuah
sbhabat	sahabat
sblah	sebelah
sblh	sebelah
sblm	sebelum
sblmny	sebelumnya
sblmnya	sebelumnya
sblum	sebelum
sbnarnya	sebenarnya
sbnrny	sebenarnya
sbnyak	sebanyak
sbr	sabar
sbuah	sebuah
sby	surabaya
scara	secara
scpatny	secepatnya
scr	secara
scra	secara
sdah	sudah
sdg	sedang
sdgkn	sedangkan
sdh	sudah
sdkit	sedikit
sdkit2	sedikit-sedikit
sdkt	sedikit
sdngkn	sedangkan
sdri	sendiri
se7	setuju
sgla	segala
sgt	sangat
sgtu	sebegitu
sgtunya	segitunya
shabat	sahabat
sharusnya	seharusnya
shbat	sahabat
shbt	sahabat
shg	sehingga
sj	saja
sja	saja
sjk	sejak
sk	suka
ska	suka
skali	sekali
skali2	sekali-kali
skalian	sekalian
skaligus	sekaligus
skarang	sekarang
skedar	sekadar
skit	sakit
skitar	sekitar
skl	sekali
sklh	sekolah
skli	sekali
sklinyaa	sekalinya
skluarga	sekeluarga
skolah	sekolah
skrang	sekarang
skrg	sekarang
skrng	sekarang
sktika	seketika
slah	salah
slahkan	salahkan
slalu	selalu
slamat	selamat
slesai	selesai
slh	salah
slhkan	salahkan
sling	saling
sll	selalu
sllu	selalu
slm	salam
slma	selama
slmat	selamat
slmnya	salamnya
slmt	selamat
slsai	selesai
slt	sulit
sm	sama
smakin	semakin
smangat	semangat
smbil	sambil
smentara	sementara
smg	semoga
smga	semoga
smkin	semakin
smngat	semangat
smnjak	semenjak
smoga	semoga
smp	sampai
smpai	sampai
smpe	sampai
smpt	sempat
smrg	semarang
smster	semester
smua	semua
sna	sana
sndiri	sendiri
sndr	sendiri
sndri	sendiri
sneng	senang
sng	senang
sngaja	sengaja
sngt	sangat
sp	siapa
spa	siapa
spd	sepeda
sperti	seperti
spertinya	sepertinya
sprt	seperti
sprti	seperti
spt	seperti
spti	seperti
spy	supaya
srng	sering
srta	serta
srtfkt	sertifikat
ssorg	seseorang
stelah	setelah
stiap	setiap
stidaknya	setidaknya
stimpal	setimpal
stju	setuju
stlh	setelah
stu	satu
stuju	setuju
sy	saya
sya	saya
syang	sayang
syg	sayang
syng	sayang
syngnya	sayangnya
td	tadi
tdak	tidak
tdi	tadi
tdk	tidak
tdnya	tadinya
tdr	tidur
telp	telepon
tempt	tempat
tgl	tanggal
thd	terhadap
thdp	terhadap
thn	tahun
thnan	tahunan
thx	terima kasih
tks	terima kasih
tkut	takut
tlg	tolong
tlp	telepon
tlpn	telepon
tls	tulis
tlsn	tulisan
tman	teman
tmbah	tambah
tmbh	tambah
tmen	teman
tmn	teman
tmpt	tempat
tnang	tenang
tnda	tanda
tnggl	tanggal
tnp	tanpa
tnpa	tanpa
tntg	tentang
tntram	tentram
tnya	tanya
tnyta	ternyata
tp	tapi
tpi	tapi
tq	terima kasih
trasa	terasa
trbaik	terbaik
trbukti	terbukti
trdhulu	terdahulu
trganggu	terganggu
trgntg	tergantung
trhtung	terhitung
trima	terima
trims	terima kasih
trjadi	terjadi
trjd	terjadi
trknal	terkenal
trkrim	terkirim
trlalu	terlalu
trlihat	terlihat
trll	terlalu
trm	terima
trmanis	termanis
trmasuk	termasuk
trmsuk	termasuk
trnyata	ternyata
trnyt	ternyata
troma	trauma
trpsah	terpisah
trs	terus
trsa	terasa
trserah	terserah
trserh	terserah
trsrh	terserah
trun	turun
trus	terus
tsb	tersebut
ttd	tertanda
ttep	tetap
ttg	tentang
ttp	tetap
tu	itu
u/	untuk
ud	sudah
uda	sudah
udah	sudah
udh	sudah
uga	juga
ultah	ulang tahun
univ	universitas
untk	untuk
ursan	urusan
urusanny	urusannya
utk	untuk
utkmu	untukmu
w	gue
w/	dengan
wkt	waktu
wktu	waktu
wktunya	waktunya
wkwk	tertawa
wlau	walau
wlaupun	walaupun
y	ya
ya	iya
yg	yang
yng	yang
ywdh	ya sudah
